validTime,temperature,wind_speed,precipitation,air_pressure,city
05-02 00:00,5.8,6.8,3.4,1009.4,göteborg
05-02 01:00,5.4,9.2,4.1,1010.3,göteborg
05-02 02:00,4.3,11.8,3.5,1011.2,göteborg
05-02 03:00,3.1,9.0,2.6,1012.2,göteborg
05-02 04:00,2.4,7.4,2.0,1012.9,göteborg
05-02 05:00,3.4,9.2,2.2,1013.6,göteborg
05-02 06:00,0.0,0.0,-9.0,4.7,göteborg
05-02 07:00,0.0,0.0,-9.0,4.8,göteborg
05-02 08:00,0.0,0.0,-9.0,6.5,göteborg
05-02 09:00,0.0,0.0,-9.0,8.1,göteborg
05-02 10:00,0.0,0.0,-9.0,9.0,göteborg
05-02 11:00,0.0,0.0,-9.0,11.6,göteborg
05-02 12:00,0.0,0.0,-9.0,11.6,göteborg
05-02 13:00,0.0,0.0,-9.0,10.6,göteborg
05-02 14:00,0.0,0.0,-9.0,10.3,göteborg
05-02 15:00,0.0,0.0,-9.0,10.1,göteborg
05-02 16:00,0.0,0.0,-9.0,9.1,göteborg
05-02 17:00,0.0,0.0,-9.0,8.4,göteborg
05-02 18:00,0.0,0.0,-9.0,7.3,göteborg
05-02 19:00,0.0,0.0,-9.0,5.5,göteborg
05-02 20:00,0.0,0.0,-9.0,4.2,göteborg
05-02 21:00,0.0,0.0,-9.0,4.1,göteborg
05-02 22:00,0.0,0.0,-9.0,3.7,göteborg
05-02 23:00,0.0,0.0,-9.0,3.5,göteborg
05-03 00:00,0.0,0.0,-9.0,3.0,göteborg
05-03 01:00,0.0,0.0,-9.0,2.9,göteborg
05-03 02:00,0.0,0.0,-9.0,2.9,göteborg
05-03 03:00,0.0,0.0,-9.0,2.5,göteborg
05-03 04:00,0.0,0.0,-9.0,1.7,göteborg
05-03 05:00,0.0,0.0,-9.0,2.4,göteborg
05-03 06:00,0.0,0.0,-9.0,3.7,göteborg
05-03 07:00,0.0,0.0,-9.0,3.9,göteborg
05-03 08:00,0.0,0.0,-9.0,5.1,göteborg
05-03 09:00,0.0,0.0,-9.0,6.5,göteborg
05-03 10:00,0.0,0.0,-9.0,8.4,göteborg
05-03 11:00,0.0,0.0,-9.0,9.1,göteborg
05-03 12:00,0.0,0.0,-9.0,9.7,göteborg
